id,tenant_id,environment_id,customer_id,subscription_id,invoice_number,invoice_type,invoice_status,payment_status,currency,amount_due,amount_paid,amount_remaining,subtotal,total,total_discount,total_tax,adjustment_amount,refunded_amount,billing_sequence,description,due_date,paid_at,voided_at,finalized_at,billing_period,period_start,period_end,invoice_pdf_url,billing_reason,metadata,idempotency_key,version,status,created_by,updated_by,created_at,updated_at
inv_01K76TCFSQX6JY5C43WT2G1EE8,tenant_01K0F7AQCZR5THSG9MHEZE8VKR,env_01K0F7AQEQFTV06P178C1KTR6X,cust_01K4CGWJ4493R9V2Y5PZW7CNRZ,subs_01K4M3DVXZNFRN50P9T5EKB9HV,INV-202510-00079,SUBSCRIPTION,FINALIZED,PENDING,usd,10,0,10,10,10,0,0,0,0,2,Invoice for subscription subs_01K4M3DVXZNFRN50P9T5EKB9HV,2025-10-09T05:47:27Z,,,2025-10-10T10:24:09Z,MONTHLY,2025-09-08T05:47:27Z,2025-10-08T05:47:27Z,https://pay.stripe.com/invoice/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNiN283Y1hkdXFjSkFRT1VhWUpzZkN0ZlZDcmpXLDE1MDYzMjY1Mg0200LuKuzcco/pdf?s=ap,SUBSCRIPTION_CYCLE,"{""stripe_hosted_invoice_url"":""https://invoice.stripe.com/i/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNiN283Y1hkdXFjSkFRT1VhWUpzZkN0ZlZDcmpXLDE1MDYzMjY1Mg0200LuKuzcco?s=ap""}",subscription_invoice-ff29843f8cde4859,3,published,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,2025-10-10T10:24:08Z,2025-10-10T10:24:12Z
inv_01K76TDYEMH4GPYBJ3F95481T2,tenant_01K0F7AQCZR5THSG9MHEZE8VKR,env_01K0F7AQEQFTV06P178C1KTR6X,cust_01K4CGWJ4493R9V2Y5PZW7CNRZ,subs_01K4KXY01HQ602PRNVP6E7NV4H,INV-202510-00080,SUBSCRIPTION,FINALIZED,PENDING,usd,10,0,10,10,10,0,0,0,0,2,Invoice for subscription subs_01K4KXY01HQ602PRNVP6E7NV4H,2025-10-09T05:47:27Z,,,2025-10-10T10:24:56Z,MONTHLY,2025-09-08T05:47:27Z,2025-10-08T05:47:27Z,https://pay.stripe.com/invoice/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNjN1l4VmQ1WlR3bzh1S2w5M0tqUzZ6cktuS1pCLDE1MDYzMjcwMA0200d0uXGQj5/pdf?s=ap,SUBSCRIPTION_CYCLE,"{""stripe_hosted_invoice_url"":""https://invoice.stripe.com/i/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNjN1l4VmQ1WlR3bzh1S2w5M0tqUzZ6cktuS1pCLDE1MDYzMjcwMA0200d0uXGQj5?s=ap""}",subscription_invoice-bdb4158c73e93390,3,published,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,2025-10-10T10:24:56Z,2025-10-10T10:25:00Z
inv_01K76TE9CK970T8JTVEXB1S56C,tenant_01K0F7AQCZR5THSG9MHEZE8VKR,env_01K0F7AQEQFTV06P178C1KTR6X,cust_01K4CGWJ4493R9V2Y5PZW7CNRZ,subs_01K4KXTXK3D3HJR9X4GM48S452,INV-202510-00081,SUBSCRIPTION,FINALIZED,PENDING,usd,10,0,10,10,10,0,0,0,0,2,Invoice for subscription subs_01K4KXTXK3D3HJR9X4GM48S452,2025-10-09T05:47:27Z,,,2025-10-10T10:25:08Z,MONTHLY,2025-09-08T05:47:27Z,2025-10-08T05:47:27Z,https://pay.stripe.com/invoice/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNjV0szVjExRlZVTFNXYW53ekxEdGtoR053VVJULDE1MDYzMjcxMQ0200TOYogbhd/pdf?s=ap,SUBSCRIPTION_CYCLE,"{""stripe_hosted_invoice_url"":""https://invoice.stripe.com/i/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNjV0szVjExRlZVTFNXYW53ekxEdGtoR053VVJULDE1MDYzMjcxMQ0200TOYogbhd?s=ap""}",subscription_invoice-4497b1792a4bfbb6,3,published,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,2025-10-10T10:25:07Z,2025-10-10T10:25:11Z
inv_01K76TEGK92NK3PWFMJ5R353GN,tenant_01K0F7AQCZR5THSG9MHEZE8VKR,env_01K0F7AQEQFTV06P178C1KTR6X,cust_01K4CGWJ4493R9V2Y5PZW7CNRZ,subs_01K4KXSM5ZRQVMN0ESC4JF0DPA,INV-202510-00082,SUBSCRIPTION,FINALIZED,PENDING,usd,10,0,10,10,10,0,0,0,0,2,Invoice for subscription subs_01K4KXSM5ZRQVMN0ESC4JF0DPA,2025-10-09T05:46:45Z,,,2025-10-10T10:25:15Z,MONTHLY,2025-09-08T05:46:45Z,2025-10-08T05:46:45Z,https://pay.stripe.com/invoice/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNjYjZZbTFpQno3VFZqN0cydTVaR05zMnNiNXRCLDE1MDYzMjcxOA0200xOeOX6cP/pdf?s=ap,SUBSCRIPTION_CYCLE,"{""stripe_hosted_invoice_url"":""https://invoice.stripe.com/i/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNjYjZZbTFpQno3VFZqN0cydTVaR05zMnNiNXRCLDE1MDYzMjcxOA0200xOeOX6cP?s=ap""}",subscription_invoice-d3cfa253cf355115,3,published,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,2025-10-10T10:25:14Z,2025-10-10T10:25:18Z
inv_01K76TFMBQK9BANHMJZ1QWQQZW,tenant_01K0F7AQCZR5THSG9MHEZE8VKR,env_01K0F7AQEQFTV06P178C1KTR6X,cust_01K4CGWJ4493R9V2Y5PZW7CNRZ,subs_01K4CW2XHJ4XZT8603BK7DAM66,INV-202510-00083,SUBSCRIPTION,FINALIZED,PENDING,usd,10,0,10,10,10,0,0,0,0,3,Invoice for subscription subs_01K4CW2XHJ4XZT8603BK7DAM66,2025-10-06T12:02:11Z,,,2025-10-10T10:25:52Z,MONTHLY,2025-09-05T12:02:11Z,2025-10-05T12:02:11Z,https://pay.stripe.com/invoice/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNkZ0dsOEtJOXlkNThwRWRjckJPM1VRcUlBamlDLDE1MDYzMjc1NQ0200Kq9rXeb1/pdf?s=ap,SUBSCRIPTION_CYCLE,"{""stripe_hosted_invoice_url"":""https://invoice.stripe.com/i/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNkZ0dsOEtJOXlkNThwRWRjckJPM1VRcUlBamlDLDE1MDYzMjc1NQ0200Kq9rXeb1?s=ap""}",subscription_invoice-8816225850b738fb,3,published,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,2025-10-10T10:25:51Z,2025-10-10T10:25:55Z
inv_01K76THHNWPJWQGCAWEAEVY5YA,tenant_01K0F7AQCZR5THSG9MHEZE8VKR,env_01K0F7AQEQFTV06P178C1KTR6X,cust_01K4CGWJ4493R9V2Y5PZW7CNRZ,subs_01K4CTBJ9PPRY51B3YTK96EXXC,INV-202510-00084,SUBSCRIPTION,FINALIZED,PENDING,usd,161.7,0,161.7,161.7,161.7,0,0,0,0,2,Invoice for subscription subs_01K4CTBJ9PPRY51B3YTK96EXXC,2025-10-06T11:31:46Z,,,2025-10-10T10:26:54Z,MONTHLY,2025-09-05T11:31:46Z,2025-10-05T11:31:46Z,https://pay.stripe.com/invoice/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNlQjRQNjV5MW9OanJGcjhQWmVhN3o5QnB0aHhKLDE1MDYzMjgxOQ0200o8hbkYYr/pdf?s=ap,SUBSCRIPTION_CYCLE,"{""stripe_hosted_invoice_url"":""https://invoice.stripe.com/i/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNlQjRQNjV5MW9OanJGcjhQWmVhN3o5QnB0aHhKLDE1MDYzMjgxOQ0200o8hbkYYr?s=ap""}",subscription_invoice-7f85262252ac7957,3,published,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,2025-10-10T10:26:54Z,2025-10-10T10:26:59Z
inv_01K76TJ19Y4X680MKBKPBNYZZN,tenant_01K0F7AQCZR5THSG9MHEZE8VKR,env_01K0F7AQEQFTV06P178C1KTR6X,cust_01K4CGWJ4493R9V2Y5PZW7CNRZ,subs_01K4CT9P79ND77EVJABF6XV36N,INV-202510-00085,SUBSCRIPTION,FINALIZED,PENDING,usd,161.7,0,161.7,161.7,161.7,0,0,0,0,2,Invoice for subscription subs_01K4CT9P79ND77EVJABF6XV36N,2025-10-06T11:30:56Z,,,2025-10-10T10:27:10Z,MONTHLY,2025-09-05T11:30:56Z,2025-10-05T11:30:56Z,https://pay.stripe.com/invoice/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNlZFU4ZnZmT3libm5xa3FwUjNqR1VZbHVpbUpBLDE1MDYzMjgzNA02007AsCQGHT/pdf?s=ap,SUBSCRIPTION_CYCLE,"{""stripe_hosted_invoice_url"":""https://invoice.stripe.com/i/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNlZFU4ZnZmT3libm5xa3FwUjNqR1VZbHVpbUpBLDE1MDYzMjgzNA02007AsCQGHT?s=ap""}",subscription_invoice-023e3ff125f00f54,3,published,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,2025-10-10T10:27:10Z,2025-10-10T10:27:14Z
inv_01K76TJ96CVHE28Z7RHYQB07TK,tenant_01K0F7AQCZR5THSG9MHEZE8VKR,env_01K0F7AQEQFTV06P178C1KTR6X,cust_01K4CGWJ4493R9V2Y5PZW7CNRZ,subs_01K4CT94004H6T4D4RYBXSN182,INV-202510-00086,SUBSCRIPTION,FINALIZED,PENDING,usd,161.7,0,161.7,161.7,161.7,0,0,0,0,2,Invoice for subscription subs_01K4CT94004H6T4D4RYBXSN182,2025-10-06T11:30:37Z,,,2025-10-10T10:27:19Z,MONTHLY,2025-09-05T11:30:37Z,2025-10-05T11:30:37Z,https://pay.stripe.com/invoice/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNmb2JwQ2JZOFJnYm1XbWpmcTI0MWZBOVdaTmQ3LDE1MDYzMjg0Mg0200GtIEqItq/pdf?s=ap,SUBSCRIPTION_CYCLE,"{""stripe_hosted_invoice_url"":""https://invoice.stripe.com/i/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNmb2JwQ2JZOFJnYm1XbWpmcTI0MWZBOVdaTmQ3LDE1MDYzMjg0Mg0200GtIEqItq?s=ap""}",subscription_invoice-7aba348c27da28cd,3,published,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,2025-10-10T10:27:18Z,2025-10-10T10:27:22Z
inv_01K76TJX2AW6FB6FVET5F5H0PK,tenant_01K0F7AQCZR5THSG9MHEZE8VKR,env_01K0F7AQEQFTV06P178C1KTR6X,cust_01K4A5ZJEJ56TMXXTCFH2XM499,subs_01K4CT2BS0T26HC5CVTY3NWDWH,INV-202510-00087,SUBSCRIPTION,FINALIZED,SUCCEEDED,usd,10,10,0,10,10,0,0,0,0,2,Invoice for subscription subs_01K4CT2BS0T26HC5CVTY3NWDWH,2025-10-06T11:06:52Z,2025-10-10T11:28:45Z,,2025-10-10T10:27:39Z,MONTHLY,2025-09-05T11:06:52Z,2025-10-05T11:06:52Z,https://pay.stripe.com/invoice/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNmcUt5cXNwSUxZZFIxQ09MVlA3OFI4SnNXczJmLDE1MDYzMjg2Mw0200gzbXzGBZ/pdf?s=ap,SUBSCRIPTION_CYCLE,"{""stripe_hosted_invoice_url"":""https://invoice.stripe.com/i/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNmcUt5cXNwSUxZZFIxQ09MVlA3OFI4SnNXczJmLDE1MDYzMjg2Mw0200gzbXzGBZ?s=ap""}",subscription_invoice-0b83cb30b813359c,4,published,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,,2025-10-10T10:27:38Z,2025-10-10T11:28:45Z
inv_01K76TKFM07W4FDWZGH3S65DH9,tenant_01K0F7AQCZR5THSG9MHEZE8VKR,env_01K0F7AQEQFTV06P178C1KTR6X,cust_01K4A5ZJEJ56TMXXTCFH2XM499,subs_01K4CSDCPGKFC9YC8BZ5WQCJBR,INV-202510-00088,SUBSCRIPTION,FINALIZED,SUCCEEDED,usd,10,10,0,10,10,0,0,0,0,2,Invoice for subscription subs_01K4CSDCPGKFC9YC8BZ5WQCJBR,2025-10-06T11:06:52Z,2025-10-10T11:30:31Z,,2025-10-10T10:27:58Z,MONTHLY,2025-09-05T11:06:52Z,2025-10-05T11:06:52Z,https://pay.stripe.com/invoice/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNmVXVJaHQxSjhubU4zdURRM1NIWEpRdmNKeXhDLDE1MDYzMjg4Mg0200sa3lb0h4/pdf?s=ap,SUBSCRIPTION_CYCLE,"{""stripe_hosted_invoice_url"":""https://invoice.stripe.com/i/acct_1Rg0lDBVFqEMJNuG/test_YWNjdF8xUmcwbERCVkZxRU1KTnVHLF9URDNmVXVJaHQxSjhubU4zdURRM1NIWEpRdmNKeXhDLDE1MDYzMjg4Mg0200sa3lb0h4?s=ap""}",subscription_invoice-1c420632f9c03522,4,published,d95842bc-7d6c-4a4e-8dc9-eb9d0780d9f3,,2025-10-10T10:27:57Z,2025-10-10T11:30:31Z
